"","Despachos","Volumen","Importe","Inversion.Diaria"
"Aguascalientes",1.17953564923918,-1.03209369308428,0,-1.04279994992741
"Baja California",-0.589767824619589,-0.147441956154897,0.884651736929383,-1.04482058844095
"Campeche",-0.737209780774486,0.737209780774486,-1.62186151770387,-0.694269030453187
"Cdmx",-1.47441956154897,-0.442325868464691,0.442325868464691,-1.0418272045273
"Chiapas",-0.884651736929383,0.294883912309794,1.17953564923918,0.829559600622506
"Coahuila",1.32697760539407,-1.62186151770387,-0.147441956154897,0.879658076164721
"Colima",-0.442325868464691,0.884651736929383,-0.737209780774486,0.624990825491797
"Guanajuato",0.884651736929383,-1.32697760539407,-0.442325868464691,-1.04311306539955
"Guerrero",-0.147441956154897,0.442325868464691,1.62186151770387,0.286826115581848
"Hidalgo",0.294883912309794,1.47441956154897,-1.03209369308428,1.43909105305278
"Jalisco",-1.17953564923918,0.589767824619589,1.47441956154897,-1.03487604104582
"Michoacan",-1.62186151770387,-0.589767824619589,0.737209780774486,0.36197382889517
"Morelos",1.03209369308428,-1.47441956154897,-0.589767824619589,0.988204773172853
"Mexico",0.147441956154897,1.17953564923918,-0.884651736929383,1.68958343076386
"Nuevo Leon",0.589767824619589,-1.17953564923918,-0.294883912309794,-0.168235037259934
"Oaxaca",-1.03209369308428,0,1.03209369308428,-0.539798730864692
"Puebla",-1.32697760539407,-0.294883912309794,0.589767824619589,-0.552323349750246
"Sonora",0.737209780774486,1.62186151770387,-1.47441956154897,-1.04251605856601
"Tabasco",0,1.32697760539407,-1.32697760539407,1.80230500073384
"Tamaulipas",-0.294883912309794,0.147441956154897,1.32697760539407,-1.04458262068212
"Tlaxcala",0.442325868464691,1.03209369308428,-1.17953564923918,0.0780824674892876
"Veracruz",1.62186151770387,-0.737209780774486,0.294883912309794,-0.87378856781279
"Zacatecas",1.47441956154897,-0.884651736929383,0.147441956154897,1.14267507276135
